NAMA,LATITUDE,LONGITUDE,KETERANGAN,ALAMAT,TELEFON,FAX,EMAIL,WEBSITE,FACEBOOK,LINKEDIN,TWITTER,BLOGSPOT,FLICKR,RSS,YOUTUBE
Institut Perakaunan Negara,3.830299,100.816977,Institut Perakaunan Negara,"Institut Perakaunan Negara Jabatan Akauntan Negara Malaysia Jalan 2, Sungai Lang, 45100 Sabak Bernam, Selangor Darul Ehsan.",+603-3217 2000,03-3217 2009 / 2021,aduanipn@anm.gov.my,http://www.ipn.gov.my,,,,,,,
Institut Perguruan Sultan Abdul Halim,5.629698,100.523268,Institut Perguruan Sultan Abdul Halim,Institut Pendidikan Guru Kampus Sultan Abdul Halim 08000 Sungai Petani Kedah Darul Aman,04-4218621/04-4218622,04-4218582,helpdesk@ipsah.edu.my,http://www.ipsah.edu.my,,,,,,,
Institut Perguruan Temenggong Ibrahim,1.492269,103.737958,Institut Pendidikan Guru Kampus Temenggong Ibrahim,"Institut Pendidikan Guru Kampus Temenggong Ibrahim, Jalan Datin Halimah, 80350 Johor Bahru",07-2364788,07-2379736,pentadbirweb.ipgkti@gmail.com,http://www.ipgkti.edu.my,,,,,,,
Institut Seni Malaysia Melaka,2.2150917,102.27124839999999,Institut Seni Malaysia Melaka,"Institut Seni Malaysia Melaka (ISMMA), No.9, Rumah Kerajaan Bukit Peringgit, 75150, Melaka, 75150",06 - 2926340/2860453,06 - 2926337,ismma88@po.jaring.my,http://ismma.melaka.gov.my/,,,,,,,
Institut Sosial Malaysia,3.139003,101.686855,Institut Sosial Malaysia,"LOT PT13856 KM6 Lebuhraya Kuala Lumpur-Seremban , Sungai Besi , 57100 Kuala Lumpur",03-79853333,03-79853300,info@ism.gov.my,http://www.ism.gov.my/,,,,,,,
Institut Sukan Negara,3.0526,101.69223999999997,Institut Sukan Negara,"Institut Sukan Negara, Kompleks Sukan Negara, Bukit Jalil, 57000 Kuala Lumpur",603-89929600,603-89968748,info@isn.gov.my,http://www.isn.gov.my,https://www.facebook.com/isnmalaysia,,https://twitter.com/isnmas,,,http://www.isn.gov.my/one/rss.php,
Institut Tadbiran Awam Negara (INTAN),3.140856,101.65014,Institut Tadbiran Awam Negara (INTAN),"INTAN Kampus Utama Bukit Kiara, Jalan Bukit Kiara, Kuala Lumpur 50480",03 - 2084 7777,603-2096 1403,maklumbalas@intanbk.intan.my,http://www.intanbk.intan.my,,,,,,,
Institut Tanah Dan Ukur Negara (INSTUN),3.766316,101.518402,Institut Tanah Dan Ukur Negara(INSTUN),"Behrang Ulu, 35950 Tanjung Malim, Perak, Malaysia",+605 454 2825,+605 454 2837,pro@instun.gov.my,http://www.instun.gov.my,http://www.facebook.com/pages/Institut-Tanah-Dan-Ukur-Negara/130063837067592,,https://twitter.com/INSTUN_NRE/,,,,http://www.youtube.com/channel/UCrFx84wIUBVCWGWfM6t-AxA
Institut Terjemahan & Buku Malaysia,3.190021,101.735616,Institut Terjemahan & Buku Malaysia,"Wisma ITBM, No. 2, Jalan 2/27E Seksyen 10, Wangsa Maju 53300 Kuala Lumpur, Malaysia",+603 4145 1800,+603 4149 1535,info@itbm.com.my,http://www.itnm.com.my,,,,,,,
IPG Kampus Ilmu Khas,4.210449,101.976014,IPG Kampus Ilmu Khas,"Jalan Yaacob Latif,Bandar Tun Abdul Razak,",+603 91318160 / +603 9131 8244,+603 +9131 9393,"",www.ipik.edu.my,,,,,,,
IPG Kampus Tengku Ampuan Afzan,4.160827,102.072005,IPG Kampus Tengku Ampuan Afzan,"Km 10,Jalan Padang Tengku, 27200 Kuala Lipis, Malaysia",+609-312 3000,+609-312 5002,webmaster@iptaa.edu.my,http://www.iptaa.edu.my,,,,,,,
Istana Budaya,3.174202,101.703689,Istana Budaya,"Istana Budaya, Jalan Tun Razak, 50694 Kuala Lumpur",+603 4026 5555,+603 4025 5975,info@istanabudaya.gov.my,http://www.istanabudaya.gov.my,https://www.facebook.com/istanabudaya,,http://twitter.com/#!/IstanaBudaya,,,http://www.istanabudaya.gov.my/html/themes/istanabudaya/rss.xml,
Istana Negeri Terengganu,5.311737,103.119912,Istana Negeri Terengganu,"Dato' Pengelola Bijaya Diraja Pejabat Kebawah Duli Yang Maha Mulia Sultan Terengganu, 20500 Kuala Terengganu, Terengganu.",+09 621 6000,+09 621 6116,-,http://www.istana.terengganu.gov.my,,,,,,,
Istana Sabah,5.9754,116.077638,Istana Sabah,"SETIAUSAHA SULIT KEPADA TUAN YANG TERUTAMA YANG DI-PERTUA NEGERI SABAH, ISTANA, 88500 KOTA KINABALU, SABAH.",088-255244,088-217094,webmaster.istana@sabah.gov.my,http://www.sabah.gov.my/istana/,,,,,,,
Jabatan Agama Islam Negeri Johor,1.46343,103.75471489999995,Jabatan Agama Islam Negeri Johor,"Jabatan Agama Johor,Tingkat 4,Blok A,Bahagian Khidmat Pengurusan,Jalan Masjid Abu Bakar,80990 Johor Bahru,Johor Malaysia",07-2282900/901,07-2237873,jaj@johor.gov.my,http://jaj.johordt.gov.my,,,,,,,
Jabatan Agama Islam Negeri Melaka,2.2156805,102.26122980000002,Jabatan Agama Islam Negeri Melaka,"Kompleks Majlis Agama Islam Melaka 75150 Bukit Palah, Melaka.",606 283 7416,606 282 6033,admin@maim.gov.my,http://jaim.melaka.gov.my,,,,,,,
Jabatan Agama Islam Negeri Pahang,3.500721,103.39012120000007,Jabatan Agama Islam Negeri Pahang,"Jalan Masjid, 26600 Pekan, Pahang.",+609-421 1111 / +609-4211112,+609-422 1781,jaip@pahang.gov.my,http://jaip.pahang.gov.my,,,,,,,
Jabatan Agama Islam Negeri Perak,4.601839,101.07655499999998,Jabatan Agama Islam Negeri Perak,"Jabatan Agama Islam Perak Kompleks Islam Darul Ridzuan, Jln Panglima Bukit Gantang Wahab, 30000 Ipoh, Perak",05-2084800,05-2555512,ruhana@perak.gov.my,http://jaipk.perak.gov.my/,,,,,,,
Jabatan Agama Islam Negeri Sarawak,1.2352399,111.46061280000004,Jabatan Agama Islam Negeri Sarawak,"Pengarah, Jabatan Agama Islam Sarawak Aras 14, Majma' Tuanku Abdul Halim Mu'adzam Shah Lorong P.Ramlee Off Jalan P.Ramlee 93400 Kuching, Sarawak",082 507077/707,082 507241,kgjaishq@sarawak.gov.my,http://www.jais.sarawak.gov.my/,,,,,,,
Jabatan Agama Islam Selangor (JAIS),3.080411,101.518655,Jabatan Agama Islam Selangor (JAIS),"Jabatan Agama Islam Selangor, Bangunan Sultan Idris Shah, Tingkat 1 Menara Selatan, No 2 Persiaran Masjid, 40676 Shah Alam, Selangor",0355143400,0355103368,-,http://www.jais.gov.my,,,,,,,
Jabatan Agama Islam Wilayah Persekutuan (JAWI),3.140538,101.69102,Jabatan Agama Islam Wilayah Persekutuan (JAWI),"Kompleks Pusat Islam, Jalan Perdana, 50676 Kuala Lumpur.",03-22749333,03-22731575,webmaster@jawi.gov.my,http://www.jawi.gov.my,,,,,,,
Jabatan Air Negeri Kelantan,6.1142452,102.23909090000006,Jabatan Air Negeri Kelantan,"Aras Bawah, Blok 6, Kompleks Kota Darulnaim, 15504 Kota Bharu, Kelantan",609-7475240,609-7475220,jank@kelantan.gov.my,http://www.jank.kelantan.gov.my,,,,,,,
Jabatan Air Negeri Sabah,5.976474,116.11577699999998,Jabatan Air Negeri Sabah,"Tingkat 6, Blok A, Wisma MUIS, Beg Berkunci No. 210, 88825 Kota Kinabalu, Sabah, Malaysia",+60-88-232364,+60-88-232396,jans.hq@sabah.gov.my,http://www.sabah.gov.my/air/v2/,,,,,,,
Jabatan Akauntan Negara,2.92774,101.688271,Jabatan Akauntan Negara,"Kompleks Kementerian Kewangan No.1, Persiaran Perdana Presint 2, 62594 Putrajaya",03-8882 1000,03-8882 1042,maklumbalas@anm.gov.my,http://portal.anm.gov.my,,,,,,,
Jabatan Alam Sekitar (JAS),2.926182,101.688619,Jabatan Alam Sekitar (JAS),"Aras 1 – 4, Podium 2 & 3, Wisma Sumber Asli No.25, Persiaran Perdana, Precint 4 Pusat Pentadbiran Kerajaan Persekutuan 62574 Putrajaya, Malaysia.",03-8871 2000/2200,03-8888 9987 / 03-8889 1040,aduan_k@doe.gov.my,http://www.doe.gov.my,http://www.facebook.com/pages/Rakan-Alam-Sekitar/127323927311254,,https://twitter.com/jasnre,,,http://www.doe.gov.my/webportal/feed/,http://www.youtube.com/user/JabatanAlamSekitar
Jabatan Arkib Negara,3.177057,101.676148,Jabatan Arkib Negara,"Arkib Negara Malaysia, Jalan Duta, 50568 Kuala Lumpur",0362090600,0362015679,webmaster@arkib.gov.my,http://www.arkib.gov.my,,,,,,,
Jabatan Arkib Negeri Sabah,5.953989,116.07863,Jabatan Arkib Negeri Sabah,"Arkib Negeri Sabah KM 4, Jalan Penampang, Beg Bekunci 2017, 88999 Kota Kinabalu, Sabah, Malaysia",088-258911/258944/258972/268903,088-225803,Shirley.Sion@sabah.gov.my,http://www.sabah.gov.my/ark/,,,,,,,
Jabatan Audit Negara,2.919886,101.686535,Jabatan Audit Negara,"No.15, Aras 1-5, Persiaran Perdana,Presint 2, Pusat Pentadbiran Kerajaan Persekutuan, 62518 Putrajaya",038889 9000,038888 9721,jbaudit@audit.gov.my,http://www.audit.gov.my,,,,,,,
Jabatan Bantuan Guaman Malaysia (JBG),2.917245,101.685464,Jabatan Bantuan Guaman Malaysia (JBG),"Jabatan Perdana Menteri Aras 1, Bahagian Hal Ehwal Undang-Undang Presint 3, Pusat Pentadbiran Kerajaan Persekutuan 62692 PUTRAJAYA",03-8885 1000,03-88851829/1830/1831,pro@jbg.gov.my,http://www.jbg.gov.my/,,,,,,,
Jabatan Bekalan Air,2.942899,101.708818,Jabatan Bekalan Air,"Aras 1 & 4, Blok E4/5 Kompleks E Pusat Pentadbiran Kerajaan Persekutuan 62668 Putrajaya",0388836000,0388893071,jba@kttha.gov.my,http://www.jba.gov.my,,,,,,,
Jabatan Bekalan Air Negeri Terengganu,5.329558,103.14164140000003,Jabatan Bekalan Air Negeri Terengganu,"Tingkat 2, Wisma Negeri, Jalan Pejabat, Kuala Terengganu, 20200 Kuala Terengganu, Terengganu, Malaysia",09-6274242,09-6265890,jba@terengganu.gov.my,http://jba.terengganu.gov.my/,,,,,,,
Jabatan Belia dan Sukan Negara (JBSN),,,"","Kementerian Belia dan Sukan, Menara KBS, No 27 Persiaran Perdana, Presint 4, 62570 Putrajaya",03-8871 3333,03-8888 8770,-,http://www.kbs.gov.my,,,,,,,
Jabatan Belia dan Sukan Negeri (P) Negeri Sabah,5.958735,116.068014,Jabatan Belia dan Sukan Negeri (P) Negeri Sabah,"Jabatan Belia dan Sukan (Persekutuan) Negeri Sabah, Kompleks Belia dan Sukan (Persekutuan) Negeri Sabah, Jalan Taman Pasir Putih, Putatan, Mel Beg 81, 88998 Kota Kinabalu, Sabah",6088-765777/761777,088-765262,jbssbh@tm.net.my,http://www.jbssabah.gov.my,,,,,,,
Jabatan Belia dan Sukan Negeri Johor,1.4609,103.758109,Jabatan Belia dan Sukan Negeri Johor,"Jabatan Belia dan Sukan Negeri Johor, Tingkat 3, Blok B, Wisma Persekutuan, Jalan Air Molek, 80000 Johor Bahru, Johor",607-223 2614,607-2234487,jbsjhr@tm.net.my,http://www.jbsjohor.gov.my,,,,,,,
Jabatan Belia dan Sukan Negeri Kedah,6.122039,100.367341,Jabatan Belia dan Sukan Negeri Kedah,"Jabatan Belia dan Sukan Negeri Kedah, Aras 2, Zon A, Wisma Persekutuan, Pusat Pentadbiran Kerajaan Persekutuan, Bandar Muadzam Shah, Mukim Anak Bukit, 06550 Alor Setar, Kedah Darulaman",604 - 732 4500,604 - 731 1909,jbskdh@tm.net.my,http://www.jbskedah.gov.my,,,,,,,
Jabatan Belia dan Sukan Negeri Kelantan,6.120745,102.289483,Jabatan Belia dan Sukan Negeri Kelantan,"Jabatan Belia dan Sukan Negeri Kelantan, Aras 1, Kompleks Belia dan Sukan Negeri, Panji, 15200 Kota Bharu, Kelantan",097661200,09-7642919,jbskltn@tm.net.my,http://www.jbskelantan.gov.my,,,,,,,
Jabatan Belia dan Sukan Negeri Melaka,2.272212,102.302144,Jabatan Belia dan Sukan Negeri Melaka,"Jabatan Belia & Sukan Negeri Melaka Bandaraya Bersejarah, Jalan Tasek, Ayer Keroh, 75450 Melaka",606 - 234 5900/5901,606-234 5905,jbsmka@tm.net.my,http://www.jbsmelaka.gov.my,,,,,,,
Jabatan Belia dan Sukan Negeri Pahang,3.809708,103.326609,Jabatan Belia dan Sukan Negeri Pahang,"Jabatan Belia dan Sukan Negeri Pahang, Tingkat 5, Wisma Persekutuan Jalan Gambut, 25570 Kuantan, Pahang",609-516 4354,609-516 2272,jbsphg@tm.net.my,http://www.jbsnpahang.gov.my,,,,,,,
Jabatan Belia dan Sukan Negeri Perak,4.608837,101.102414,Jabatan Belia dan Sukan Negeri Perak,"Jabatan Belia dan Sukan Negeri Perak, Tingkat 1, Kompleks Belia Dan Sukan Negeri Perak, Jalan Ghazali Jawi, 31400 Ipoh, Perak Darul Ridzuan",605-548 9500 / 501 / 503,605-548 9504 / 546 3946,jbsprk@tm.net.my,http://www.jbsperak.gov.my,,,,,,,
Jabatan Belia dan Sukan Negeri Perlis,6.440094,100.192431,Jabatan Belia dan Sukan Negeri Perlis,"Jabatan belia dan Sukan Negeri Perlis Jalan Hospital, 01000 Kangar, Perlis.",604 - 979 3505,604 - 976 2555,jbsnperlis@kbs.gov.my,http://www.jbsperlis.gov.my,,,,,,,
Jabatan Belia dan Sukan Negeri Pulau Pinang,5.328015,100.293014,Jabatan Belia dan Sukan Negeri Pulau Pinang,"Jabatan Belia dan Sukan Negeri Pulau Pinang Jalan Sultan Azlan Shah, 11700 Batu Uban, Pulau Pinang",046554444/ 046551071,046574444,jbspp@tm.net.mt,http://www.jbspenang.gov.my/,,,,,,,
Jabatan Belia dan Sukan Negeri Sarawak,1.539649,110.337825,Jabatan Belia dan Sukan Negeri Sarawak,"Jabatan Belia Dan Sukan Negeri Sarawak, Aras 3, Kompleks Belia Dan Sukan Negeri Sarawak, Jalan Tun Ahmad Zaidi Adruce, 93150 Kuching, Sarawak",6082-240631 / 248321,6082-244537,jbssrwk@kbs.gov.my,http://www.jbssarawak.gov.my,,,,,,,
Jabatan Belia dan Sukan Negeri Selangor,3.072965,101.518183,Jabatan Belia dan Sukan Negeri Selangor,"Tingkat 5, Bangunan Plaza Perangsang, Persiaran Perbandaran, 40000 Shah Alam, Selangor Darul Ehsan",0355192326,0355192231,Jbssgr@tm.net.my,http://www.jbsselangor.gov.my/,,,,,,,
Jabatan Belia dan Sukan Negeri Sembilan,2.728331,101.979924,Jabatan Belia dan Sukan Negeri Sembilan,Jabatan Belia dan Sukan Negeri Sembilan D/A Kompleks Belia Dan Sukan Paroi 70400 Seremban Negeri Sembilan,606-7613163/7641480,606-7625569,webmaster_jbsn9@kbs.gov.my,http://www.jbsn9.gov.my,,,,,,,
Jabatan Belia dan Sukan Negeri Terengganu,5.300766,103.138172,Jabatan Belia dan Sukan Negeri Terengganu,"Jabatan Belia dan Sukan Negeri Terengganu, Jalan Pasir Panjang, 21100 Kuala Terengganu, Terengganu Darul Iman",609-622 2344,609-623 6596,jbsntrg@ymail.com,http://www.jbsterengganu.gov.my/,,,,,,,
Jabatan Belia dan Sukan Negeri Wilayah Persekutuan Kuala Lumpur,3.141057,101.646092,Jabatan Belia dan Sukan Negeri Wilayah Persekutuan Kuala Lumpur,"Jabatan Belia dan Sukan Wilayah Persekutuan Kuala Lumpur, Kompleks Rakan Muda Bukit Kiara, Jalan Kiara 1, 60000 Kuala Lumpur",0320815800,0320956997,-,http://www.jbskl.gov.my/,,,,,,,
Jabatan Belia dan Sukan Negeri Wilayah Persekutuan Labuan,5.306604,115.230357,Jabatan Belia dan Sukan Negeri Wilayah Persekutuan Labuan,"Jabatan Belia dan Sukan Wilayah Persekutuan Labuan, Kompleks Sukan Labuan, Peti Surat 80906, 87019 Wilayah Persekutuan Labuan",6087-415344,6087-415345,jbswpl@kbs.gov.my,http://www.jbslabuan.gov.my,,,,,,,
Jabatan Bendahari Negeri Sabah,5.976474,116.11577699999998,Jabatan Bendahari Negeri Sabah,"Wisma Kewangan Jalan Tunku Abdul Rahman Beg Berkunci No 2058, 88595, Kota Kinabalu, Sabah",088 - 272000/2002,088-212655,webmaster.jbn@sabah.gov.my,www.sabah.gov.my/jbn,,,,,,,
Jabatan BioKeselamatan (JBK),,,Jabatan BioKeselamatan (JBK),"Wisma Sumber Asli, No.25 Persiaran Perdana, Presint 4, 62574 Putrajaya, Malaysia",603 8000 8000,603 8889 2672,aduannre@nre.gov.my,http://www.nre.gov.my/Malay/Pages/Jabatan-Biokeselamatan.aspx,,,,,,,
Jabatan Bomba dan Penyelamat Malaysia,2.9286,101.683147,Jabatan Bomba dan Penyelamat Malaysia,"Jabatan Bomba dan Penyelamat Malaysia Lebuh Wawasan, Presint 7, 62250 Putrajaya",603-8888 0036 / 37 / 38 / 40,603-88880025,korporat@bomba.gov.my,http://www.bomba.gov.my/,,,,,,,
Jabatan Cetak Kerajaan Negeri Sabah,5.976474,116.11577699999998,Jabatan Cetak Kerajaan Negeri Sabah,"Km. 4, Jalan Tuaran, Beg Berkunci 2004, 88554 Kota Kinabalu, Sabah, Malaysia",088-538766,088-217034,Karlam.Amat@sabah.gov.my,http://www.sabah.gov.my/jck/,,,,,,,
Jabatan Filem Negara,3.108554,101.642364,Jabatan Filem Negara,"Filem Negara Malaysia Jalan Utara, 46547 Petaling Jaya, Selangor",603-7968 2137,603-7956 7463,-,www.filemnegara.gov.my,,,,,,,
Jabatan Hal Ehwal Agama Islam Negeri Kedah,6.119359,100.36769000000004,Jabatan Hal Ehwal Agama Islam Negeri Kedah,Bangunan Wan Mat Saman 05676 Alor Setar Kedah Darul Aman.,04-7745400,604-733 8333,jheaik@kedah.gov.my,http://www.jaik.gov.my/,,,,,,,
Jabatan Hal Ehwal Agama Islam Negeri Kelantan (JAHEAIK),6.105111,102.25999000000002,Jabatan Hal Ehwal Agama Islam Negeri Kelantan (JAHEAIK),"Kompleks Islam Darulnaim, Jalan Sultan Yahya Petra, 15200, Kota Bharu, Kelantan",609-7443633,609-7446685,jaheaik@kelantan.gov.my,http://www.jaheaik.gov.my,http://www.facebook.com/JaheaikGov,,,,,,
Jabatan Hal Ehwal Agama Islam Negeri Perlis,6.445156,100.235782,Jabatan Hal Ehwal Agama Islam Negeri Perlis,"Kompleks Islam, Persiaran Jubli Emas 01000 Kangar, Perlis",04-9794400,04-9761344,-,http://islam.perlis.gov.my/,,,,,,,
Jabatan Hal Ehwal Agama Islam Negeri Sabah,5.961765,116.068581,Jabatan Hal Ehwal Agama Islam Negeri Sabah,"Tingkat 10 Blok A, Wisma MUIS, Beg Berkunci 103, 88737 Kota Kinabalu, Sabah",088-217629,088-233573,Aduan.Jheains@sabah.gov.my,http://www.jheains.sabah.gov.my/,,,,,,,
Jabatan Hal Ehwal Agama Islam Negeri Sembilan,2.718592,101.948988,Jabatan Hal Ehwal Agama Islam Negeri Sembilan,"Jabatan Hal Ehwal Agama Islam Negeri Sembilan, Karung berkunci No 30, 70990 Seremban, Negeri Sembilan Darul Khusus.",606-762 2692,606-763 1395,webmasterjheains@ns.gov.my,jheains.ns.gov.my,,,,,,,
Jabatan Hal Ehwal Agama Islam Negeri Terengganu,5.311493,103.13468699999999,Jabatan Hal Ehwal Agama Islam Negeri Terengganu,"Kompleks Seri Iman, Jalan Sultan Mohamad, Padang Hiliran, 20676 Kuala Terengganu, Terengganu, Malaysia",609-625 2525,609-623 5185,"",http://jheatweb.terengganu.gov.my/,,,,,,,
Jabatan Hal Ehwal Agama Islam Pulau Pinang,5.414724,100.33852999999999,Jabatan Hal Ehwal Agama Islam Pulau Pinang,"Jabatan Hal Ehwal Agama Islam Pulau Pinang Lebuh Pantai, 10300 Pulau Pinang",604-263 7200,604-250 2810,jaipp@penang.gov.my,http://jaipp.penang.gov.my,,,,,,,
Jabatan Hal Ehwal Kesatuan Sekerja,2.938029,101.705248,Jabatan Hal Ehwal Kesatuan Sekerja,"Ibu Pejabat Jabatan Hal Ehwal Kesatuan Sekerja Kementerian Sumber Manusia Aras 8, Blok D4,Kompleks D, 62530 Putrajaya",0388865000,0388892429,jheks@mohr.gov.my,jheks.mohr.gov.my,,,,,,,
Jabatan Hal Ehwal Khas,3.154759,101.692049,Jabatan Hal Ehwal Khas,"Jabatan Hal Ehwal Khas (JASA), Kementerian Penerangan Komunikasi Dan Kebudayaan, Tingkat 3-6 Blok D, Kompleks Pejabat Kerajaan Bukit Perdana, Jalan Dato` Onn, 50610 Kuala Lumpur",0326987152,0326944515,webadmin@jasa.gov.my,www.jasa.gov.my,http://www.facebook.com/profile.php?id=100000174818487&ref=ts,,,,,http://www.jasa.gov.my/index.php?option=com_ninjarsssyndicator&feed_id=1&format=raw,
Jabatan Hal Ehwal Orang Asli Negeri Johor,1.461476,103.76276600000006,Jabatan Hal Ehwal Orang Asli Negeri Johor,"Tingkat 15, Ruang 15-A Menara Ansar, Jalan Trus, 80000 Johor Bahru Johor",07-224 3901,07-224 8542,-,www.jakoa.gov.my,,,,,,,
Jabatan Hal Ehwal Veteran ATM,3.159494,101.696933,Jabatan Hal Ehwal Veteran ATM,"301 Medan Tuanku, Jalan Tuanku Abdul Rahman, Peti Surat 13191, 50802 Kuala Lumpur",03205 8000,0326917564,-,http://www.jhev.gov.my/,http://www.facebook.com/pages/Kuala-Lumpur-Malaysia/JHEV-ATM/140910022595888,,,,,http://www.jhev.gov.my/index.php?option=com_content&view=article&id=332&lang=bm,http://www.jhev.gov.my/index.php?option=com_jmultimedia&view=jmultimedia&layout=compact&catid=101&ordermode=ordering&filter_state=P&Itemid=308&lang=bm
Jabatan Hal Ehwal Wanita Sabah,5.984974999999999,116.10463600000003,Jabatan Hal Ehwal Wanita,"Tingkat 3 & 4, Wisma Wanita Kilometer 3.5 Jalan Tuaran 88999 Kota Kinabalu, Sabah, MALAYSIA","088 - 236110, 236251",088 - 236125,micolorin.philip@sabah.gov.my,http://www.wanita.sabah.gov.my/,,,,,,,
Jabatan Imigresen Malaysia,2.91953,101.687945,Jabatan Imigresen Malaysia,"Ibu Pejabat Jabatan Imigresen Malaysia (Kementerian Dalam Negeri) No 15 Tingkat 1-7, (Podium) Persiaran Perdana, Presint 2, 62550 Putrajaya",03-8000 8000,-,pro@imi.gov.my,http://www.imi.gov.my/index.php/ms/,http://www.facebook.com/imigresen,,http://www.twitter.com/imigresenmy,,,,
Jabatan Imigresen Negeri Selangor,3.070675,101.517287,Jabatan Imigresen Negeri Selangor,"Tingkat 2, Kompleks PKNS, 40550 Shah Alam, Selangor",603 - 5519 0653 / 55,603 - 5519 0414,"",www.imi.gov.my,,,,,,,
Jabatan Insolvensi Malaysia,2.917963,101.682064,Jabatan Insolvensi Malaysia,"Ibu Pejabat Jabatan Insolvensi Malaysia,Bangunan Hal Ehwal Undang-Undang,Aras 2 & 3, Precint 3, Pusat Pentadbiran Kerajaan Persekutuan, 62692 Putrajaya",0388851000,0388851303,webmaster@insolvensi.gov.my,http://www.insolvensi.gov.my/,,,,,,,
Jabatan Kastam Diraja Malaysia,2.926361,101.696445,Jabatan Kastam Diraja Malaysia,"Ibu Pejabat Jabatan Kastam Diraja Malaysia, Kompleks Kementerian Kewangan, No. 3 Persiaran Perdana Presint 2, 62592 WP Putrajaya",603-8882 2100/2300/2,603-8889 5899/5901,kastam@customs.gov.my,http://www.customs.gov.my/,,,,,,,
Jabatan Kebajikan Masyarakat Malaysia,2.926182,101.688619,Jabatan Kebajikan Masyarakat Malaysia,"Department of Social Welfare Level 6, 9-18 No 55, Persiaran Perdana, Presint 4, 62100 Putrajaya",603-8323 1000,603-8323 2045,adminjkm@jkm.gov.my,http://www.jkm.gov.my/,http://www.facebook.com/pages/Jabatan-Kebajikan-Masyarakat-JKMM/152494181456382?ref=sgm,,https://twitter.com/#!/@JKMHQ,,,,
Jabatan Kebajikan Masyarakat Negeri Johor,1.459294,103.758734,Jabatan Kebajikan Masyarakat Negeri Johor,"Jabatan Kebajikan Masyarakat Negeri Johor Tingkat 4, Blok A Wisma Persekutuan Jalan Air Molek 80000 Johor Bharu, Johor",07-2282971/2,07-2240335,jkmnj@jkmnj.gov.my,http://www.jkmnj.gov.my,,,,,,,
Jabatan Kebajikan Masyarakat Negeri Kedah,6.119359,100.36769000000004,Jabatan Kebajikan Masyarakat Negeri Kedah,"Jabatan Kebajikan Masyarakat Negeri Kedah Aras Bawah, Blk C, Kompleks Pentadbiran Kerajaan Persekutuan, Bandar Muadzam Shah, 06550, Alor Setar, Kedah.",04 - 733 4684,04-731 3407,it.jkmk@kedah.gov.my,http://webjabatan.kedah.gov.my/jkmk/,https://www.facebook.com/JABATAN.KEBAJIKAN.MASYARAKAT.NEGERI.KEDAH,,http://twitter.com/#!/jkmnkedah,,,,
Jabatan Kebajikan Masyarakat Negeri Kelantan,6.1142452,102.23909090000006,Jabatan Kebajikan Masyarakat Negeri Kelantan,"Blok 7, Kompleks Kota Darulnaim, 15503 Kota Bharu Kelantan",609-7416900,609-7481264,jkm@kelantan.gov.my / jkmn@kelantan.gov.my,http://www.jkm.kelantan.gov.my,,,,,,,
Jabatan Kebajikan Masyarakat Negeri Melaka,2.205685,102.256155,Jabatan Kebajikan Masyarakat Negeri Melaka,"No.36-2 Jalan KC 2 Bangunan Kota Cemerlang, Hang Tuah Jaya 75450 Melaka",606-2324716,606-2319221,-,http://www.jkmnm.gov.my/,,,,,,,
Jabatan Kebajikan Masyarakat Negeri Pahang,3.814064,103.33448599999997,Jabatan Kebajikan Masyarakat Negeri Pahang,"LOT A27 & A29 Sri Kuantan Square, Jalan Teluk Sisek 25050, Kuantan Pahang, Malaysia",09-5650222,609-516 5185,jkmn_pahang@jkm.gov.my,http://jkm.pahang.gov.my/,https://www.facebook.com/pages/Jabatan-Kebajikan-Masyarakat-Negeri-Pahang/110075599036456,,https://twitter.com/JKMNPahang,,https://www.flickr.com/photos/jkmpahang/,http://jkm.pahang.gov.my/index.php/berita/aktiviti-dan-peristiwa?layout=blog&format=feed&type=rss%20,
Jabatan Kebajikan Masyarakat Negeri Perak,4.601839,101.07655499999998,Jabatan Kebajikan Masyarakat Negeri Perak,"Lot 1516,Jalan Panglima Bukit Gantang Wahab, 30000, Ipoh, Perak.",05-2545505,05-2432505,webmasterjkmpk@perak.gov.my,http://kebajikan.perak.gov.my,,,,,,,
Jabatan Kebajikan Masyarakat Negeri Perlis,6.438556,100.191308,Jabatan Kebajikan Masyarakat Negeri Perlis,"Jabatan Kebajikan Masyarakat Negeri Perlis Kompleks Pejabat-pejabat Kerajaan Negeri Perlis 01000 Kangar, Perlis",04-9702156,04-9791401,jkmn_perlis@jkm.gov.my,http://jkmperlis.gov.my/,,,,,,,
Jabatan Kebajikan Masyarakat Negeri Pulau Pinang,5.4142008,100.32961690000002,Jabatan Kebajikan Masyarakat Negeri Pulau Pinang,"Jabatan Kebajikan Masyarakat Negeri Pulau Pinang Aras 30 Menara Komtar, 10564 Pulau Pinang",604-650 5259,604-263 5964,mahfudzjkm@penang.gov.my,http://jkm.penang.gov.my,,,,,,,
Jabatan Kebajikan Masyarakat Negeri Sarawak,1.530976,110.34421989999998,Jabatan Kebajikan Masyarakat Negeri Sarawak,"Wisma Kebajikan, Lot 4273 Blok 14, Off Jalan Siol Kanan, 93050 Kuching, Sarawak.",082 - 449577,082 - 445710,welfare@sarawak.gov.my,http://www.welfare.sarawak.gov.my/,,,,,,,
